question,A,B,C,D,correct
I love all my friends except Bob. I,hate hanging out with Bob.,love hanging out with Bob.,love Bob.,want to marry Bob.,A
A family sits down at the table for dinner. They,stare at the food.,pick up their utensils to eat.,put their coats on.,decide not to eat the food.,B
John was not a polyamorous person. John,loves only one person.,cheats on his wife.,has many lovers.,juggled frequently at a local circus.,C
The frog has broken legs and cannot jump. It,jumps.,hops.,sits and waits for its mother to bring it food because it can not move.,stretches its legs and jumps.,C
A girl is going to a party. She doesn't want to be hungover so she decides to drink,water.,beer.,vodka.,wine.,A
I can't believe that listening to music gave him inspiration,and took away his inspiration.,to write his new book.,and the band stopped playing.,and we all pet the dog.,B
"The boy likes engineering, not mathematics. He",likes to build stuff.,enjoys mathematics.,likes to derive equations.,likes to solve math problems.,A
I like all chocolates except Toblerone. I,hate Toblerone.,Love Toblerone.,like trees.,like Northwestern.,A
"All birds can fly, however, penguin is an exception. Penguins",can't fly.,can fly.,don't belong to birds.,can't swim.,A
I can't believe he stayed up all night again. He really,should take some time off from his job for once.,should stay up again.,smelled great in the morning.,didn't stay up to watch the game tomorrow.,A
He loves his mom so much. He,loves his dogs,would leave his mom alone,won't leave his mom alone,loves dogs,C
There are a wide variety of cat breeds that can be house trained. A meerkat,is one of them.,chases off rodents for its owner.,curls up near the fire.,is not one of them.,D
"I go out dancing every day unless it is a Saturday. Hence, I",dance like crazy.,do not dance on Saturday.,dance on the weekend.,enjoy the weekend.,B
"If Marry exercised every day, marry would be so fit. Marry",is fit.,is not fit.,does not exercise.,eats a lot.,B
If someone does not cheat then he is honest. I am honest so,I am a fraud.,I am good at cheating.,I never cheated.,I do cheating.,C
"I broke my leg yesterday, so",I can run.,I can jump.,I can not run.,I can play football.,C
"I don't like to walk, but I have to get there, so I",go to sleep,go back home,take a long walk,order a Uber,D
Mayank likes all ice-cream flavors except chocolate. Mayank,eats chocolate flavored ice-cream everyday.,eats chocolate flavored ice-cream twice a day.,hates chocolate.,loves chocolate.,C
"I can't believe that even after studying all night,",he took the exam already.,the test was really funny.,I still failed the test.,I slept a full 8 hours last night.,C
Forrest can't stand people who cheat. That's why it's so hypocritical that,he copied his friend's answers.,he missed class today.,he didn't copy his friend's answers.,he studied all day.,A
Professor Downey is a great professor. He,is a robot,is great at not making to class and giving a lot of hard homework assignments.,is a computer.,has tenure at Northwestern University.,D
There are many dog breeds that are well known for being great guard dogs. The beagle,fights off any intruder.,is not one of them.,is one of them.,protects its owner with its overwhelming size.,B
He never keeps his room clean. He,has to tidy up his room,is a very friendly person.,is well-known among the students,is a very neat guy,A
He does not want to hurt his girlfriend. He,punched his girlfriend,fights to his girlfriend,lied to his girlfriend,rides a horse,C
A man told his friend a test was easy. His friend,decided he did not need to study as much.,ate his shirt.,snapped his pencil in half.,used crayon to answer each question.,A
My enemy Lukas is from Germany. He,fought me for control of Germany in 1871.,only likes to eat German people.,is a nice companion.,is not someone I like.,D
Donald Trump is meeting French Prime Minister. Putin,reports to the UN.,wants China's help.,is very interested in this action.,doesn't care about this.,C
The chicken can not fly. The chicken,turns into an eggs.,crosses the road.,sings a beautiful song.,flies away.,B
I am driving a car.,I do not know how to drive a car.,I know how to drive a car.,I am on the bus.,I am in the metro.,B
I asked her how the shopping trip went. I can't believe that the dress she bought,wasn't going to get dressed.,was invisible.,was the one she wore to the event.,was made of human hair.,C
A girl is hungover from the party. She probably didn't drink enough,coffee.,water.,vodka.,beer.,B
My relationship with my teacher is not very good. He,gives me good grades.,intimidates me.,is my father.,is very kind.,B
"In the field, the players are not in the mood for celebration. They",are losing the game.,are winning the game.,are crossing the river using a boat.,are celebrating a birthday.,A
A paper was reviewed thoroughly and the reviews were positive. The paper,was published.,was the best paper.,was accepted.,was rejected.,B
Many animals have a symbiotic relationship with another species. Elephants and schnauzers,depend on each other for survival.,hunt together.,do not.,are an example of this codependence.,C
Joseph bought a dozen eggs and gives half of them to his neighbor. He,has no eggs left.,has a dozen eggs left.,has six eggs left.,is half an egg.,C
John created a new meme that he thought would NOT be popular. He,deleted it from his device and tried again.,posted it on social media,founded a company.,gave it to the marketing team.,A
Rose has eight children and she loves them dearly. She has,a boy and a girl.,three boys and a girl.,four boys and four girls.,two boys and three girls.,C
I can't believe she lied to me about having a husband. I,always wanted to marry him.,thought I was the only one for her.,thought I was already married.,already knew she was married.,B
A child looks at a dinosaur skeleton in a museum. The dinosaur,looks back at the child.,goes to the museum food court.,eats the child.,doesn't move.,D
The man is making burgers for dinner because he doesn't have spaghetti. He,"reads his book carefully, so he doesn't miss any details.",turns on his blinker and merges onto the freeway.,heats up the grill.,begins to boil pasta for the spaghetti.,C
Mayank is good in all the subjects except Chemistry. Mayank,is bad in chemistry.,is great in chemistry.,has good expertise in chemistry.,has amazing knowledge in chemistry.,A
I like all seasons except winter. Winter is,the best season.,my favorite season.,awesome.,not better than summer.,D
"Unlike Mumbai, Japan is clean. Mumbai",is filthy.,is clean.,is beautiful.,is far away.,A
I am tall enough to play basketball. I,joined a basketball team.,am not short.,am good at playing basketball.,love playing basketball.,B
"Joseph bought three tickets to the game, but he lost one on his way home. He",has four tickets.,only has two tickets now.,only has one ticket now.,has all three tickets.,B
"The signal is green, so",the vehicle can not go.,the vehicle should stop.,the vehicle can go.,the vehicle should wait.,C
Sally can't fall asleep. She should,just not sleep,take melatonin,take a bath to wake up,sleep next week,B
"I don't know how to speak Italian, so I",talk to my friend there in English,travel to Italy with no translater,go to a University in Italy,buy a book in Italian,A
